,admitting_diagnosis,count(admitting_diagnosis)
2913,Closed fracture of shaft of fibula with tibia,5
2914,"Other and unspecified cord entanglement, without mention of compression, complicating labor and delivery, delivered",5
2915,Foreign body in intestine and colon,5
2916,Other postprocedural complications of skin and subcutaneous tissue,5
2917,Malignant neoplasm of right ureter,5
2918,Other specified pre-operative examination,5
2919,Other specified postprocedural states,5
2920,"Insect bite (nonvenomous) of scalp, initial encounter",5
2921,Other seizures,5
2922,Dysfunction of eustachian tube,5
2923,"Abrasion or friction burn of finger, without mention of infection",5
2924,"Duodenal ulcer, unspecified as acute or chronic, without hemorrhage, perforation, or obstruction",5
2925,Eosinophilic esophagitis,5
2926,"Chronic instability of knee, left knee",5
2927,Other and unspecified general psychiatric examination,5
2928,Idiopathic acute pancreatitis without necrosis or infection,5
2929,Poisoning by other and unspecified agents primarily affecting the cardiovascular system,5
2930,"Infections of kidney in pregnancy, third trimester",5
2931,Other infection during labor,5
2932,Other specified diseases of blood and blood-forming organs,5
2933,"Malignant neoplasm of pelvic bones, sacrum, and coccyx",5
2934,"Breakdown (mechanical) of indwelling urethral catheter, initial encounter",5
2935,"Unspecified fracture of left pubis, initial encounter for closed fracture",5
2936,Asymptomatic varicose veins,5
2937,"Nasal polyp, unspecified",5
2938,"Abrasion of oral cavity, initial encounter",5
2939,"Peptic ulcer, unspecified site, unspecified as acute or chronic, without mention of hemorrhage, perforation, or obstruction",5
2940,"Type II or unspecified type diabetes mellitus with hyperosmolarity, uncontrolled",5
2941,"Crushing injury of left great toe, initial encounter",5
2942,"Contusion of left foot, initial encounter",5
2943,"Laceration without foreign body of right lesser toe(s) without damage to nail, initial encounter",5
2944,"Unspecified foreign body in larynx causing other injury, initial encounter",5
2945,Endometrial intraepithelial neoplasia (EIN),5
2946,Malignant melanoma of skin of scalp and neck,5
2947,"Other tear of lateral meniscus, current injury, left knee, subsequent encounter",5
2948,Unspecified protein-calorie malnutrition,5
2949,Refractory anemia with ring sideroblasts,5
2950,Unspecified disease of pharynx,5
2951,Otogenic pain,5
2952,"Contusion of right hip, initial encounter",5
2953,Benign paroxysmal positional vertigo,5
2954,Unspecified paranoid state,5
2955,Muscle spasm of back,5
2956,"Other specified complication of internal orthopedic prosthetic devices, implants and grafts, initial encounter",5
2957,Other disorders of bilirubin metabolism,5
2958,"Impacted cerumen, bilateral",5
2959,Polyp of vocal cord and larynx,5
2960,Dermatitis due to drugs and medicines taken internally,5
2961,Diaper dermatitis,5
2962,Unspecified dyspareunia,5
2963,Mallet finger of left finger(s),5
2964,"Poisoning by other antiepileptic and sedative-hypnotic drugs, accidental (unintentional), initial encounter",5
2965,Angiodysplasia of stomach and duodenum with bleeding,5
2966,"Supervision of high risk pregnancy, unspecified, third trimester",5
2967,Contracture of ankle and foot joint,5
2968,Cellulitis and abscess of oral soft tissues,5
2969,"Unspecified hearing loss, right ear",5
2970,Contusion of hand(s),5
2971,"Poor fetal growth, affecting management of mother, delivered",5
2972,Other polyuria,5
2973,"Other generalized epilepsy and epileptic syndromes, not intractable, with status epilepticus",5
2974,"Unspecified fracture of facial bones, initial encounter for closed fracture",5
2975,Acute lymphoblastic leukemia not having achieved remission,5
2976,Other specified pleural conditions,5
2977,"Maternal care for other abnormalities of gravid uterus, third trimester",5
2978,"Other instability, right knee",5
2979,"Peripheral tear of medial meniscus, current injury, right knee, initial encounter",5
2980,"Open bite of right cheek and temporomandibular area, initial encounter",5
2981,"Lesion of plantar nerve, left lower limb",5
2982,"Other bursal cyst, other site",5
2983,"Maternal care for transverse and oblique lie, not applicable or unspecified",5
2984,"Tubulo-interstitial nephritis, not specified as acute or chronic",5
2985,"Splenomegaly, not elsewhere classified",5
2986,"Infection and inflammatory reaction due to other internal orthopedic prosthetic devices, implants and grafts, initial encounter",5
2987,Hypertensive urgency,5
2988,Secondary and unspecified malignant neoplasm of lymph nodes of axilla and upper limb,5
2989,Benign neoplasm of rectum,5
2990,Encounter for examination and observation following transport accident,5
2991,Diseases of the circulatory system complicating childbirth,5
2992,"Malignant neoplasm of nipple and areola, right female breast",5
2993,Type 2 diabetes mellitus with diabetic chronic kidney disease,5
2994,"Other specified malposition or malpresentation of fetus, antepartum",5
2995,Other ill-defined disorder of eye,5
2996,Angiodysplasia of stomach and duodenum (without mention of hemorrhage),5
2997,Ankyloglossia,5
2998,Respiratory distress syndrome in newborn,5
2999,"Trigger finger, unspecified finger",5
3000,Papanicolaou smear of cervix with atypical squamous cells of undetermined significance (ASC-US),5
3001,"Infectious gastroenteritis and colitis, unspecified",5
3002,Acute pyelonephritis,5
3003,Specified vascular disorder of male genital organs,5
3004,"Puncture wound without foreign body, left foot, initial encounter",5
3005,"Displaced fracture of fifth metatarsal bone, right foot, initial encounter for closed fracture",5
3006,Intestinal or peritoneal adhesions with obstruction (postoperative) (postinfection),5
3007,"Displaced fracture of base of neck of right femur, initial encounter for closed fracture",5
3008,"Derangement of unspecified lateral meniscus due to old tear or injury, right knee",4
3009,Other abnormality of urination,4
3010,"Infection and inflammatory reaction due to internal right knee prosthesis, subsequent encounter",4
3011,"Other specified fetal and placental problems affecting management of mother, antepartum",4
3012,"Derangement of other lateral meniscus due to old tear or injury, right knee",4
3013,"Displaced fracture of fifth metatarsal bone, right foot, subsequent encounter for fracture with nonunion",4
3014,Contusion of forearm,4
3015,"Pre-existing essential hypertension complicating pregnancy, third trimester",4
3016,Open anterior occlusal relationship,4
3017,"Intervertebral lumbar disc disorder with myelopathy, lumbar region",4
3018,"Poisoning by heroin, accidental (unintentional), initial encounter",4
3019,Sunburn,4
3020,Empyema without mention of fistula,4
3021,"Toxic effect of venom of bees, accidental (unintentional), initial encounter",4
3022,"Open wound of hip and thigh, complicated",4
3023,Encounter for antineoplastic immunotherapy,4
3024,"Oligohydramnios, delivered",4
3025,Other shock,4
3026,Unspecified disorder of plasma protein metabolism,4
3027,Unspecified disturbance of conduct,4
3028,Candidal stomatitis,4
3029,"Otitis media, unspecified, left ear",4
3030,"Other displaced fracture of upper end of left humerus, initial encounter for closed fracture",4
3031,"Prostatitis, unspecified",4
3032,Irritable bowel syndrome,4
3033,"Unspecified perforation of tympanic membrane, right ear",4
3034,Tubal pregnancy,4
3035,Unspecified peritonitis,4
3036,"Early onset of delivery, unspecified as to episode of care",4
3037,"Sprain of tibiofibular (ligament), distal of ankle",4
3038,Nonspecific (abnormal) findings on radiological and other examination of skull and head,4
3039,"Other and unspecified intracranial hemorrhage following injury, without mention of open intracranial wound, unspecified state of",4
3040,"Preterm labor third trimester with preterm delivery third trimester, fetus 2",4
3041,"Quadriplegia, unspecified",4
3042,Unspecified disease of the salivary glands,4
3043,Repeated falls,4
3044,Cerebral infarction due to embolism of unspecified cerebral artery,4
3045,"Paralysis of vocal cords and larynx, unspecified",4
3046,"Secondary and unspecified malignant neoplasm of lymph nodes of head, face, and neck",4
3047,"Pathological fracture in neoplastic disease, right humerus, initial encounter for fracture",4
3048,Alcohol induced acute pancreatitis without necrosis or infection,4
3049,"Viral intestinal infection, unspecified",4
3050,"Other specified arthritis, left knee",4
3051,Closed fracture of base of neck of femur,4
3052,Malignant neoplasm of other parts of bronchus or lung,4
3053,"Burn of first degree of left forearm, initial encounter",4
3054,"Diffuse large b-cell lymphoma, lymph nodes of head, face, and neck",4
3055,Type 2 diabetes mellitus with diabetic polyneuropathy,4
3056,Balanoposthitis,4
3057,Hypotension due to drugs,4
3058,Regional enteritis of small intestine with large intestine,4
3059,Postprocedural hemorrhage of a genitourinary system organ or structure following other procedure,4
3060,Other disorders of prepuce,4
3061,"Other immediate postpartum hemorrhage, postpartum",4
3062,Closed fracture of upper end of fibula with tibia,4
3063,"Isoimmunization from other and unspecified blood-group incompatibility, affecting management of mother, antepartum",4
3064,"Unspecified nondisplaced fracture of second cervical vertebra, initial encounter for closed fracture",4
3065,"Displaced fracture of proximal phalanx of left little finger, initial encounter for closed fracture",4
3066,Cellulitis of chest wall,4
3067,Cerebral infarction due to embolism of left anterior cerebral artery,4
3068,Malignant neoplasm of left main bronchus,4
3069,Closed fracture of medial malleolus,4
3070,Transient alteration of awareness,4
3071,"Dyschromia, unspecified",4
3072,"Unspecified abnormal finding in specimens from other organs, systems and tissues",4
3073,Unspecified viral hepatitis C with hepatic coma,4
3074,"Unspecified open wound of left hand, initial encounter",4
3075,Other neuromuscular dysfunction of bladder,4
3076,"Tinnitus, left ear",4
3077,Diverticulosis of large intestine without perforation or abscess with bleeding,4
3078,Chronic sphenoidal sinusitis,4
3079,"Otorrhea, right ear",4
3080,"Complete placenta previa with hemorrhage, second trimester",4
3081,Pathologic fracture of tibia and fibula,4
3082,Other symptoms and signs involving the genitourinary system,4
3083,"Complex tear of medial meniscus, current injury, right knee, subsequent encounter",4
3084,"Unspecified leukemia, without mention of having achieved remission",4
3085,Benign neoplasm of bladder,4
3086,"Left upper quadrant abdominal swelling, mass and lump",4
3087,Other specified congenital malformations of peripheral vascular system,4
3088,Benign carcinoid tumor of the rectum,4
3089,Hypertrophic scar,4
3090,"Unqualified visual loss, left eye, normal vision right eye",4
3091,Cellulitis of right finger,4
3092,"Acute and chronic respiratory failure, unspecified whether with hypoxia or hypercapnia",4
3093,"Other extraarticular fracture of lower end of right radius, initial encounter for closed fracture",4
3094,"Other fracture of upper and lower end of left fibula, initial encounter for closed fracture",4
3095,"Burn of second degree of left hand, unspecified site, initial encounter",4
3096,"Other mechanical complication of indwelling urethral catheter, initial encounter",4
3097,"Extradural and subdural abscess, unspecified",4
3098,Corns and callosities,4
3099,"Stiffness of left knee, not elsewhere classified",4
3100,"Toxic effect of unspecified corrosive substance, accidental (unintentional), initial encounter",4
3101,Chronic myelomonocytic leukemia not having achieved remission,4
3102,"Excessive fetal growth affecting management of mother, delivered",4
3103,Embolism and thrombosis of arteries of upper extremity,4
3104,Unspecified age-related cataract,4
3105,Irritable bowel syndrome without diarrhea,4
